Week,Day,OT 1,OT 2,NT/Proverbs,Psalms
1,Sun,,,,
,Mon,Genesis 1,Job 1,Proverbs 1,
,Tue,Genesis 2,Job 2,Matthew 1,Psalm 1
,Wed,Genesis 3,Job 3,Matthew 2,
,Thu,Genesis 4,Job 4,Matthew 3,Psalm 2
,Fri,Genesis 5,Job 5,Matthew 4,
,Sat,Genesis 6,Job 6,Matthew 5,Psalm 3
2,Sun,,,,
,Mon,Genesis 7-8,Job 7-8,Matthew 6,
,Tue,Genesis 9,Job 9,Matthew 7,Psalm 4
,Wed,Genesis 10,Job 10,Matthew 8,
,Thu,Genesis 11,Job 11,Matthew 9,Psalm 5
,Fri,Genesis 12,Job 12,Matthew 10,
,Sat,Genesis 13,Job 13,Matthew 11,Psalm 6
3,Sun,,,,
,Mon,Genesis 14-15,Job 14-15,Matthew 12,
,Tue,Genesis 16,Job 16,Matthew 13,Psalm 7
,Wed,Genesis 17,Job 17,Matthew 14,
,Thu,Genesis 18,Job 18,Matthew 15,Psalm 8
,Fri,Genesis 19,Job 19,Matthew 16,
,Sat,Genesis 20,Job 20,Matthew 17,Psalm 9
4,Sun,,,,
,Mon,Genesis 21-22,Job 21-22,Matthew 18,
,Tue,Genesis 23,Job 23,Matthew 19,Psalm 10
,Wed,Genesis 24,Job 24,Matthew 20,
,Thu,Genesis 25,Job 25,Matthew 21,Psalm 11
,Fri,Genesis 26,Job 26,Matthew 22,
,Sat,Genesis 27,Job 27,Matthew 23,Psalm 12
5,Sun,,,,
,Mon,Genesis 28-29,Job 28-29,Matthew 24,
,Tue,Genesis 30,Job 30,Matthew 25,Psalm 13
,Wed,Genesis 31,Job 31,Matthew 26,
,Thu,Genesis 32,Job 32,Matthew 27,Psalm 14
,Fri,Genesis 33,Job 33,Matthew 28,
,Sat,Genesis 34,Job 34,,Psalm 15
6,Sun,,,,
,Mon,Genesis 35-36,Job 35-36,Proverbs 2,
,Tue,Genesis 37,Job 37,Mark 1,Psalm 16
,Wed,Genesis 38,Job 38,Mark 2,
,Thu,Genesis 39,Job 39,Mark 3,Psalm 17
,Fri,Genesis 40,Job 40,Mark 4,
,Sat,Genesis 41,Job 41-42,Mark 5,Psalm 18
7,Sun,,,,
,Mon,Genesis 42-43,Ecclesiastes 1,Mark 6,
,Tue,Genesis 44,Ecclesiastes 2,Mark 7,Psalm 19
,Wed,Genesis 45,Ecclesiastes 3,Mark 8,
,Thu,Genesis 46,Ecclesiastes 4,Mark 9,Psalm 20
,Fri,Genesis 47,Ecclesiastes 5,Mark 10,
,Sat,Genesis 48,Ecclesiastes 6,Mark 11,Psalm 21
8,Sun,,,,
,Mon,Genesis 49,Ecclesiastes 7,Mark 12,
,Tue,Genesis 50,Ecclesiastes 8,Mark 13,Psalm 22
,Wed,Exodus 1,Ecclesiastes 9,Mark 14,
,Thu,Exodus 2,Ecclesiastes 10,Mark 15-16,Psalm 23
,Fri,Exodus 3,Ecclesiastes 11,,
,Sat,Exodus 4,Ecclesiastes 12,Proverbs 3,Psalm 24
9,Sun,,,,
,Mon,Exodus 5-6,Song of Solomon 1-2,Luke 1,
,Tue,Exodus 7,Song of Solomon 3-4,Luke 2,Psalm 25
,Wed,Exodus 8,Song of Solomon 5-6,Luke 3,
,Thu,Exodus 9,Song of Solomon 7-8,Luke 4,Psalm 26
,Fri,Exodus 10,Joel 1,Luke 5,
,Sat,Exodus 11,Joel 2-3,Luke 6,Psalm 27
10,Sun,,,,
,Mon,Exodus 12-13,Amos 1-2,Luke 7,
,Tue,Exodus 14,Amos 3-4,Luke 8,Psalm 28
,Wed,Exodus 15,Amos 5,Luke 9,
,Thu,Exodus 16,Amos 6-7,Luke 10,Psalm 29
,Fri,Exodus 17,Amos 8-9,Luke 11,
,Sat,Exodus 18-19,,Luke 12,Psalm 30
11,Sun,,,,
,Mon,Exodus 20,Hosea 1,Luke 13,
,Tue,Exodus 21,Hosea 2,Luke 14,Psalm 31
,Wed,Exodus 22,Hosea 3-4,Luke 15,
,Thu,Exodus 23,Hosea 5,Luke 16,Psalm 32
,Fri,Exodus 24,Hosea 6-7,Luke 17,
,Sat,Exodus 25,Hosea 8,Luke 18,Psalm 33
12,Sun,,,,
,Mon,Exodus 26-27,Hosea 9,Luke 19,
,Tue,Exodus 28,Hosea 10,Luke 20,Psalm 34
,Wed,Exodus 29,Hosea 11-12,Luke 21,
,Thu,Exodus 30,Hosea 13,Luke 22,Psalm 35
,Fri,Exodus 31,Hosea 14,Luke 23,
,Sat,Exodus 32,,Luke 24,Psalm 36
13,Sun,,,,
,Mon,Exodus 33-34,Jonah 1-2,Acts 1,
,Tue,Exodus 35,Jonah 3-4,Acts 2,Psalm 37
,Wed,Exodus 36,Micah 1-2,Acts 3,
,Thu,Exodus 37,Micah 3-4,Acts 4,Psalm 38
,Fri,Exodus 38,Micah 5-6,Acts 5,
,Sat,Exodus 39-40,Micah 7,Acts 6,Psalm 39
14,Sun,,,,
,Mon,Leviticus 1,1 Chronicles 1,Acts 7,
,Tue,Leviticus 2,1 Chronicles 2,Acts 8,Psalm 40
,Wed,Leviticus 3,1 Chronicles 3,Acts 9,
,Thu,Leviticus 4,1 Chronicles 4,Acts 10,Psalm 41
,Fri,Leviticus 5-6,1 Chronicles 5,Acts 11,
,Sat,Leviticus 7,1 Chronicles 6,Acts 12,Psalm 42
15,Sun,,,,
,Mon,Leviticus 8,1 Chronicles 7-8,Acts 13,
,Tue,Leviticus 9,1 Chronicles 9,Acts 14,Psalm 43
,Wed,Leviticus 10,1 Chronicles 10,Acts 15,
,Thu,Leviticus 11,1 Chronicles 11,Acts 16,Psalm 44
,Fri,Leviticus 12,1 Chronicles 12,Acts 17,
,Sat,Leviticus 13,1 Chronicles 13-14,Acts 18,Psalm 45
16,Sun,,,,
,Mon,Leviticus 14,1 Chronicles 15-16,Acts 19,
,Tue,Leviticus 15,1 Chronicles 17,Acts 20,Psalm 46
,Wed,Leviticus 16,1 Chronicles 18,Acts 21,
,Thu,Leviticus 17,1 Chronicles 19-20,Acts 22,Psalm 47
,Fri,Leviticus 18,1 Chronicles 21,Acts 23,
,Sat,Leviticus 19,1 Chronicles 22,Acts 24,Psalm 48
17,Sun,,,,
,Mon,Leviticus 20-21,1 Chronicles 23-24,Acts 25,
,Tue,Leviticus 22,1 Chronicles 25,Acts 26,Psalm 49
,Wed,Leviticus 23,1 Chronicles 26,Acts 27,
,Thu,Leviticus 24,1 Chronicles 27,Acts 28,Psalm 50
,Fri,Leviticus 25,1 Chronicles 28,,
,Sat,Leviticus 26-27,1 Chronicles 29,Proverbs 4,Psalm 51
18,Sun,,,,
,Mon,Numbers 1,2 Chronicles 1,James 1,
,Tue,Numbers 2,2 Chronicles 2,James 2,Psalm 52
,Wed,Numbers 3,2 Chronicles 3-4,James 3,
,Thu,Numbers 4,2 Chronicles 5,James 4,Psalm 53
,Fri,Numbers 5,2 Chronicles 6,James 5,
,Sat,Numbers 6,2 Chronicles 7,Proverbs 5,Psalm 54
19,Sun,,,,
,Mon,Numbers 7,2 Chronicles 8-9,Galatians 1,
,Tue,Numbers 8,2 Chronicles 10,Galatians 2,Psalm 55
,Wed,Numbers 9,2 Chronicles 11,Galatians 3,
,Thu,Numbers 10,2 Chronicles 12,Galatians 4,Psalm 56
,Fri,Numbers 11,2 Chronicles 13,Galatians 5,
,Sat,Numbers 12,2 Chronicles 14-16,Galatians 6,Psalm 57
20,Sun,,,,
,Mon,Numbers 13-14,2 Chronicles 17-18,Proverbs 6,
,Tue,Numbers 15,2 Chronicles 19,1 Thessalonians 1,Psalm 58
,Wed,Numbers 16,2 Chronicles 20,1 Thessalonians 2,
,Thu,Numbers 17,2 Chronicles 21,1 Thessalonians 3,Psalm 59
,Fri,Numbers 18,2 Chronicles 22,1 Thessalonians 4,
,Sat,Numbers 19,2 Chronicles 23,1 Thessalonians 5,Psalm 60
21,Sun,,,,
,Mon,Numbers 20-21,2 Chronicles 24,Proverbs 7,
,Tue,Numbers 22,2 Chronicles 25,2 Thessalonians 1,Psalm 61
,Wed,Numbers 23,2 Chronicles 26-27,2 Thessalonians 2,
,Thu,Numbers 24,2 Chronicles 28,2 Thessalonians 3,Psalm 62
,Fri,Numbers 25,2 Chronicles 29,,
,Sat,Numbers 26-27,2 Chronicles 30,Proverbs 8,Psalm 63
22,Sun,,,,
,Mon,Numbers 28,2 Chronicles 31-32,1 Corinthians 1,
,Tue,Numbers 29,2 Chronicles 33,1 Corinthians 2,Psalm 64
,Wed,Numbers 30,2 Chronicles 34,1 Corinthians 3,
,Thu,Numbers 31,2 Chronicles 35,1 Corinthians 4,Psalm 65
,Fri,Numbers 32,2 Chronicles 36,1 Corinthians 5,
,Sat,Numbers 33,Isaiah 1,1 Corinthians 6,Psalm 66
23,Sun,,,,
,Mon,Numbers 34-35,Isaiah 2,1 Corinthians 7,
,Tue,Numbers 36,Isaiah 3-4,1 Corinthians 8,Psalm 67
,Wed,Deuteronomy 1,Isaiah 5,1 Corinthians 9,
,Thu,Deuteronomy 2,Isaiah 6,1 Corinthians 10,Psalm 68
,Fri,Deuteronomy 3,Isaiah 7,1 Corinthians 11,
,Sat,Deuteronomy 4,Isaiah 8-9,1 Corinthians 12,Psalm 69
24,Sun,,,,
,Mon,Deuteronomy 5,Isaiah 10,1 Corinthians 13,
,Tue,Deuteronomy 6,Isaiah 11-12,1 Corinthians 14,Psalm 70
,Wed,Deuteronomy 7,Isaiah 13,1 Corinthians 15,
,Thu,Deuteronomy 8,Isaiah 14,1 Corinthians 16,Psalm 71
,Fri,Deuteronomy 9,Isaiah 15-16,,
,Sat,Deuteronomy 10-11,Isaiah 17-18,Proverbs 9,Psalm 72
25,Sun,,,,
,Mon,Deuteronomy 12,Isaiah 19-21,2 Corinthians 1,
,Tue,Deuteronomy 13,Isaiah 22,2 Corinthians 2,Psalm 73
,Wed,Deuteronomy 14,Isaiah 23,2 Corinthians 3,
,Thu,Deuteronomy 15,Isaiah 24,2 Corinthians 4,Psalm 74
,Fri,Deuteronomy 16,Isaiah 25,2 Corinthians 5,
,Sat,Deuteronomy 17-18,Isaiah 26-27,2 Corinthians 6,Psalm 75
26,Sun,,,,
,Mon,Deuteronomy 19,Isaiah 28-29,2 Corinthians 7,
,Tue,Deuteronomy 20,Isaiah 30,2 Corinthians 8,Psalm 76
,Wed,Deuteronomy 21,Isaiah 31-32,2 Corinthians 9,
,Thu,Deuteronomy 22,Isaiah 33,2 Corinthians 10,Psalm 77
,Fri,Deuteronomy 23,Isaiah 34-35,2 Corinthians 11,
,Sat,Deuteronomy 24-25,Isaiah 36-37,2 Corinthians 12-13,Psalm 78
27,Sun,,,,
,Mon,Deuteronomy 26,Isaiah 38,Proverbs 10,
,Tue,Deuteronomy 27,Isaiah 39,Romans 1,Psalm 79
,Wed,Deuteronomy 28,Isaiah 40,Romans 2,
,Thu,Deuteronomy 29,Isaiah 41,Romans 3,Psalm 80
,Fri,Deuteronomy 30,Isaiah 42,Romans 4,
,Sat,Deuteronomy 31,Isaiah 43,Romans 5,Psalm 81
28,Sun,,,,
,Mon,Deuteronomy 32,Isaiah 44-45,Romans 6,
,Tue,Deuteronomy 33-34,Isaiah 46-47,Romans 7,Psalm 82
,Wed,Joshua 1,Isaiah 48,Romans 8,
,Thu,Joshua 2,Isaiah 49,Romans 9,Psalm 83
,Fri,Joshua 3,Isaiah 50-51,Romans 10,
,Sat,Joshua 4,Isaiah 52-53,Romans 11,Psalm 84
29,Sun,,,,
,Mon,Joshua 5,Isaiah 54,Romans 12,
,Tue,Joshua 6,Isaiah 55-56,Romans 13,Psalm 85
,Wed,Joshua 7,Isaiah 57,Romans 14,
